date,price,spot_vol_1d,miner_balance
1/1/2016,434.8839825,13553041.24,1935093.293
1/2/2016,434.9224203,9168123.87,1936444.525
1/3/2016,430.9997978,16275413.61,1937030.584
1/4/2016,433.9019913,16139930.12,1938707.77
1/5/2016,433.1665987,13924948.97,1939006.137
1/6/2016,429.9253492,13244165.31,1933715.139
1/7/2016,458.7099237,49602214.52,1932998.06
1/8/2016,454.0532833,29725085.83,1934659.662
1/9/2016,449.6971828,12269076.89,1935731.58
1/10/2016,448.9536353,14365332.92,1937228.279
1/11/2016,448.6952498,20494853.17,1937293.11
1/12/2016,435.4855509,24776246.83,1937902.746
1/13/2016,432.6577823,30777304.69,1939268.564
1/14/2016,430.025026,16290934.52,1937851.232
1/15/2016,362.4305505,96299042.3,1938788.124
1/16/2016,388.1881731,57648021.6,1940188.93
1/17/2016,379.1487486,20640867.4,1941839.166
1/18/2016,384.9289182,21515479.03,1943796.145
1/19/2016,376.7663108,18513990.36,1944853.938
1/20/2016,419.2252502,64300523.25,1940291.933
1/21/2016,409.268099,28205801.18,1940678.528
1/22/2016,383.2949288,46234038.92,1942545.666
1/23/2016,386.9158595,25251105.96,1944429.542
1/24/2016,402.801075,25057141.93,1945896.775
1/25/2016,391.1212623,27365462.62,1947104.638
1/26/2016,391.6668141,27037739.97,1948659.87
1/27/2016,394.4466804,18441834.53,1950039.724
1/28/2016,379.7505777,27304848.21,1946894.333
1/29/2016,378.6405195,45272785.32,1945006.355
1/30/2016,377.3488876,11721696.15,1947848.237
1/31/2016,367.9508596,16200944.43,1946898.491
2/1/2016,371.3705232,21613615.99,1948121.238
2/2/2016,372.9622693,14884444.24,1948721.288
2/3/2016,368.5349032,17489688.02,1949429.008
2/4/2016,388.0950287,32838258.35,1950786.736
2/5/2016,383.9341259,19478071.24,1940150.772
2/6/2016,375.227387,26558542.68,1933654.481
2/7/2016,376.4286292,16331138.93,1935066.946
2/8/2016,371.2169424,22658603.69,1936147.523
2/9/2016,372.7623708,24980760.22,1931731.394
2/10/2016,378.9517342,48106024.13,1933258.795
2/11/2016,378.1483816,36987039.21,1936038.561
2/12/2016,382.392097,30408665.17,1935136.49
2/13/2016,390.6503666,33113197.99,1931951.73
2/14/2016,406.5740594,34433990.46,1932947.363
2/15/2016,398.8081586,35546001.52,1931375.487
2/16/2016,407.2382416,31015684.17,1928964.102
2/17/2016,414.8979247,41595968.72,1928648.751
2/18/2016,421.1656956,37736271.65,1923163.914
2/19/2016,420.4435359,21405866.56,1924447.258
2/20/2016,434.6179274,48533837.22,1925300.457
2/21/2016,438.4724307,45103578.97,1926012.946
2/22/2016,437.4889589,30890987.52,1926698.138
2/23/2016,419.6102232,44137898.07,1928581.527
2/24/2016,423.8512633,33420635.88,1925428.32
2/25/2016,423.5093989,34971508.34,1926836.916
2/26/2016,430.6719637,26838983.75,1928075.681
2/27/2016,432.1432341,22576937.45,1927244.587
2/28/2016,431.5065287,30225949.68,1927622.226
2/29/2016,436.4222493,30314598.6,1929139.461
3/1/2016,433.2277036,39485304.76,1930226.343
3/2/2016,420.1261526,45232097.89,1932222.236
3/3/2016,419.311582,58289898.53,1933089.901
3/4/2016,407.2361244,59533712.51,1934537.333
3/5/2016,398.5024324,101830636.9,1933398.247
3/6/2016,404.6277893,63240272.89,1934806.694
3/7/2016,412.8005827,55100377.91,1922680.691
