,date,price,spot_vol_1d,miner_balance,price_pct_change,miner_change,relative_miner_change_to_spot_vol
5,2016-01-06,429.9253492,13244165.31,1933715.139,-0.7482685668118161,-5290.998000000138,-17.175368243471137
13,2016-01-14,430.025026,16290934.52,1937851.232,-0.6085077878419942,-1417.3319999999367,-3.741272358576792
19,2016-01-20,419.2252502,64300523.25,1940291.933,11.269303592947466,-4562.005000000121,-2.974326787517552
27,2016-01-28,379.7505777,27304848.21,1946894.333,-3.725751395625132,-3145.3909999998286,-4.374549311374164
28,2016-01-29,378.6405195,45272785.32,1945006.355,-0.2923124453748649,-1887.9780000001192,-1.5790169870746007
30,2016-01-31,367.9508596,16200944.43,1946898.491,-2.4905407989335826,-949.7460000000428,-2.15703386065918
35,2016-02-05,383.9341259,19478071.24,1940150.772,-1.0721350422698617,-10635.96399999992,-20.964650406750632
36,2016-02-06,375.227387,26558542.68,1933654.481,-2.267768951142357,-6496.291000000201,-9.178162847607316
39,2016-02-09,372.7623708,24980760.22,1931731.394,0.41631408038880213,-4416.128999999957,-6.589738267775652
42,2016-02-12,382.392097,30408665.17,1935136.49,1.1222355050269472,-902.0709999999963,-1.1343635750022814
43,2016-02-13,390.6503666,33113197.99,1931951.73,2.1596339633556783,-3184.7600000000093,-3.757195731770574
45,2016-02-15,398.8081586,35546001.52,1931375.487,-1.910082707062155,-1571.875999999931,-1.7635653696655391
46,2016-02-16,407.2382416,31015684.17,1928964.102,2.1138190927671774,-2411.3850000000093,-3.16616645255393
48,2016-02-18,421.1656956,37736271.65,1923163.914,1.5106778141954047,-5484.836999999825,-6.121498201472544
54,2016-02-24,423.8512633,33420635.88,1925428.32,1.0107094311614606,-3153.2069999999367,-3.9989986282582253
57,2016-02-27,432.1432341,22576937.45,1927244.587,0.3416220520509272,-831.094000000041,-1.5907899368393879
66,2016-03-07,412.8005827,55100377.91,1922680.691,2.0198299810645137,-12126.002999999793,-9.08454949691626
74,2016-03-15,415.4742785,42295278.95,1927067.005,0.1011736166516064,-3371.685000000056,-3.3120679836639204
79,2016-03-20,411.6682983,26190388.42,1929721.306,0.5021580923938229,-1302.4799999999814,-2.047276720647339
83,2016-03-24,412.6839147,39026500.86,1929329.37,-1.1627462951757317,-3044.684999999823,-3.2195879649464847
95,2016-04-05,422.2472808,29079453.08,1939098.593,0.6879385973836083,-3598.2009999998845,-5.224756407357411
104,2016-04-14,425.7382993,22572954.64,1947996.345,0.18570978253322767,-999.8870000001043,-1.8858416971161
106,2016-04-16,433.2765036,19816404.24,1927367.612,0.665846684282867,-21183.777000000002,-46.31734758960538
108,2016-04-18,429.6255257,31498747.31,1928793.332,0.1647405052408235,-1667.1500000001397,-2.273900571732975
116,2016-04-26,469.6017138,47658129.03,1930361.062,1.0809508791550293,-3272.2070000001695,-3.224285229789761
